id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
13227,"Pickens County, Georgia",21439,30529,22302,26029,31679,42147,64676
13233,"Polk County, Georgia",26728,29336,19595,27350,30703,31992,54228
13237,"Putnam County, Georgia",15669,26423,11797,24905,22335,54844,43405
13245,"Richmond County, Georgia",128938,27568,16408,22002,28689,42190,50204
13247,"Rockdale County, Georgia",55490,33872,21609,26806,31578,42999,59038
13255,"Spalding County, Georgia",42006,30161,19428,26713,31426,38333,58064
13257,"Stephens County, Georgia",17155,28606,17136,26238,30284,38185,58231
13261,"Sumter County, Georgia",19860,23946,16691,19649,26687,34611,51694
13267,"Tattnall County, Georgia",17271,25632,15738,21241,26957,42396,43966
13275,"Thomas County, Georgia",30014,27467,14832,24715,27088,37153,52126
13277,"Tift County, Georgia",25375,30715,17057,21835,31193,43488,56767
13279,"Toombs County, Georgia",17169,29743,22371,23514,30791,42261,45842
13285,"Troup County, Georgia",43497,30433,18065,27342,30003,43207,56138
13291,"Union County, Georgia",16203,22170,18039,18544,25283,36429,53611
13293,"Upson County, Georgia",18228,25400,15944,23188,27974,44180,48942
13295,"Walker County, Georgia",47272,29437,19265,27219,30512,46437,53527
13297,"Walton County, Georgia",55475,33666,22083,25862,35236,48903,56244
13299,"Ware County, Georgia",23849,26248,18608,21868,29675,34688,60391
13303,"Washington County, Georgia",14165,28917,21029,28129,27991,42326,45188
13305,"Wayne County, Georgia",20301,25170,16870,20665,27136,48750,53714
13311,"White County, Georgia",19419,27123,25456,24373,27787,27237,44019
13313,"Whitfield County, Georgia",64758,26353,21548,25481,29302,41084,47805
13321,"Worth County, Georgia",14508,26685,20686,27276,31250,45841,42449
15001,"Hawaii County, Hawaii",131092,29441,20127,25572,28095,39450,50031
15003,"Honolulu County, Hawaii",659232,39618,22071,31307,37169,47283,62173
15007,"Kauai County, Hawaii",48110,32380,22398,28216,33227,39759,50556
15009,"Maui County, Hawaii",110396,33766,28299,30580,32797,40674,51347
16001,"Ada County, Idaho",266830,33511,17623,24750,30330,43228,63260
16005,"Bannock County, Idaho",51292,27841,12470,20756,27109,34406,55663
16011,"Bingham County, Idaho",27064,30089,21384,24519,30473,40045,60421
16013,"Blaine County, Idaho",14862,34164,26042,28510,33448,40308,60643
16017,"Bonner County, Idaho",29672,26799,23152,25849,25231,33062,41750
16019,"Bonneville County, Idaho",64390,30648,18527,22640,27780,43041,78919
16027,"Canyon County, Idaho",116713,26430,20623,23261,26813,32908,54464
16031,"Cassia County, Idaho",13564,26243,23631,21948,26586,31379,50991
16039,"Elmore County, Idaho",15741,30719,18770,22776,33261,38750,60694
16051,"Jefferson County, Idaho",15247,30069,20651,23089,31095,37324,56083
16053,"Jerome County, Idaho",13463,27465,25621,26590,24639,38817,48793
16055,"Kootenai County, Idaho",95845,30516,22374,27383,28814,36138,51832
16057,"Latah County, Idaho",21167,32157,27500,31199,27374,31048,46353
16065,"Madison County, Idaho",15266,22386,25313,22815,15855,25898,76510
16067,"Minidoka County, Idaho",12471,24786,18608,27250,23353,31201,50542
16069,"Nez Perce County, Idaho",27297,30448,19606,24990,30384,32350,51716
